"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "199" "up" "72" "있잖아" "폴킴" 8081652 "스페이스오디티" "Kakao Entertainment"
"202204" "200" "up" "64" "가보자" "Xydo (시도)" 7997601 "스튜디오 마음C, 화앤담픽쳐스" "YG PLUS"
"202203" "1" "up" "7" "INVU" "태연 (TAEYEON)" 88020451 "SM Entertainment" "Dreamus"
"202203" "2" "new" "new" "GANADARA (Feat. 아이유)" "박재범" 80727272 "MORE VISION" "Kakao Entertainment"
"202203" "3" "new" "new" "TOMBOY" "(여자)아이들" 78845456 "큐브엔터테인먼트" "Kakao Entertainment"
"202203" "4" "down" "3" "취중고백" "김민석" 76595120 "프로젝트 리본" "Warner Music"
"202203" "5" "up" "HOT" "듣고 싶을까" "MSG워너비(M.O.M)" 76547599 "NK Company" "지니뮤직, Stone Music Entertainment"
"202203" "6" "up" "HOT" "RUN2U" "STAYC(스테이씨)" 63897858 "하이업엔터테인먼트" "Kakao Entertainment"
"202203" "7" "down" "4" "사랑은 늘 도망가" "임영웅" 61953080 "모스트콘텐츠" "NHN벅스"
"202203" "8" "up" "HOT" "사랑인가 봐" "멜로망스(Melomance)" 60980840 "플렉스엠" "Kakao Entertainment"
"202203" "9" "up" "7" "abcdefu" "GAYLE" 59793704 "Atlantic, Arthouse Records" "Warner Music"
"202203" "10" "up" "1" "SMILEY (Feat. BIBI)" "YENA(최예나)" 56403340 "위에화엔터테인먼트코리아" "지니뮤직, Stone Music Entertainment"
"202203" "11" "down" "9" "ELEVEN" "IVE (아이브)" 56223553 "스타쉽엔터테인먼트" "Kakao Entertainment"
"202203" "12" "up" "11" "언제나 사랑해" "케이시 (Kassy)" 54706844 "도토리뮤직" "Kakao Entertainment"
"202203" "13" "down" "9" "회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)" "sokodomo" 51521209 "Stone Music Entertainment" "지니뮤직"
"202203" "14" NA "-" "다정히 내 이름을 부르면" "경서예지, 전건호" 49373545 "에버그로우" "Kakao Entertainment"
"202203" "15" "down" "10" "Step Back" "GOT the beat" 49027974 "SM Entertainment" "Dreamus"
"202203" "16" "up" "1" "신호등" "이무진" 47631697 "쇼플레이" "Kakao Entertainment"
"202203" "17" "new" "new" "어제처럼" "폴킴" 45762804 "메모리즈 프로젝트" "Kakao Entertainment"
